epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,52587.7,0.47339,0.5913,0.30076,0.79497,0.99472,0.98386,0.99299,0.93776,0.9743,0.96049,0.97659,0.59111,0.3725,0.67433,0.23715,0.78303,0.007789,0.007789,0.007789
69,53350.1,0.47196,0.59174,0.29911,0.79627,0.99526,0.98374,0.99308,0.9383,0.97357,0.96196,0.97803,0.59691,0.36932,0.67714,0.23519,0.78271,0.007756,0.007756,0.007756
70,54117.7,0.4662,0.57206,0.29572,0.79335,0.99529,0.98506,0.99313,0.94171,0.97464,0.96365,0.97809,0.58987,0.36751,0.66491,0.23317,0.78259,0.007723,0.007723,0.007723
71,54884.1,0.46827,0.58622,0.29798,0.79456,0.99611,0.98244,0.9927,0.93886,0.97323,0.95994,0.97754,0.59156,0.3697,0.68978,0.23574,0.78223,0.00769,0.00769,0.00769
72,55650.1,0.46664,0.58751,0.29606,0.79386,0.99461,0.98392,0.99299,0.94174,0.9735,0.95926,0.97626,0.59063,0.36421,0.67148,0.23066,0.78203,0.007657,0.007657,0.007657
73,56415.9,0.46666,0.58361,0.29698,0.79468,0.99446,0.9826,0.993,0.94427,0.97658,0.962,0.97777,0.59072,0.35925,0.67597,0.22876,0.78151,0.007624,0.007624,0.007624
74,57182.7,0.47074,0.58776,0.29519,0.79504,0.9951,0.98301,0.99306,0.94211,0.97795,0.96441,0.97846,0.59304,0.36059,0.65469,0.23031,0.78179,0.007591,0.007591,0.007591
75,57949.9,0.46618,0.58649,0.29419,0.79258,0.99598,0.98375,0.99335,0.9438,0.9758,0.96342,0.97799,0.59102,0.35904,0.66361,0.22967,0.78167,0.007558,0.007558,0.007558
76,58717.8,0.4605,0.58103,0.29395,0.7912,0.99556,0.98495,0.99318,0.94304,0.97708,0.96562,0.97968,0.58998,0.35866,0.65645,0.2285,0.78128,0.007525,0.007525,0.007525
77,59493.6,0.4619,0.58729,0.29356,0.79364,0.99435,0.98406,0.99299,0.94293,0.97505,0.95993,0.97842,0.59081,0.35914,0.65048,0.22831,0.781,0.007492,0.007492,0.007492
78,60259,0.46523,0.59192,0.29539,0.79277,0.99534,0.98381,0.99368,0.94348,0.97778,0.96261,0.97926,0.59454,0.35537,0.66688,0.2279,0.78065,0.007459,0.007459,0.007459
79,61016.3,0.45973,0.5734,0.29327,0.79144,0.99452,0.98394,0.99319,0.9432,0.97579,0.96532,0.97934,0.59905,0.35333,0.6754,0.22548,0.78101,0.007426,0.007426,0.007426
80,61782.8,0.45316,0.56689,0.28846,0.79172,0.99345,0.98449,0.99331,0.94656,0.97716,0.96417,0.98052,0.59636,0.35369,0.64886,0.2267,0.78082,0.007393,0.007393,0.007393
81,62543.3,0.45414,0.56889,0.29112,0.79295,0.99444,0.98311,0.99412,0.94552,0.97476,0.96351,0.98009,0.59552,0.35192,0.67795,0.22761,0.7807,0.00736,0.00736,0.00736
